episode      1, score -20, own  1, enemy 21, mean -21.00
episode      2, score -21, own  0, enemy 21, mean -20.99
episode      3, score -21, own  0, enemy 21, mean -20.99
episode      4, score -21, own  0, enemy 21, mean -20.99
episode      5, score -21, own  0, enemy 21, mean -20.99
episode      6, score -20, own  1, enemy 21, mean -20.99
episode      7, score -21, own  0, enemy 21, mean -20.98
episode      8, score -21, own  0, enemy 21, mean -20.98
episode      9, score -21, own  0, enemy 21, mean -20.98
episode     10, score -21, own  0, enemy 21, mean -20.98
episode     11, score -21, own  0, enemy 21, mean -20.98
episode     12, score -21, own  0, enemy 21, mean -20.98
episode     13, score -20, own  1, enemy 21, mean -20.98
episode     14, score -20, own  1, enemy 21, mean -20.97
episode     15, score -20, own  1, enemy 21, mean -20.96
episode     16, score -21, own  0, enemy 21, mean -20.95
episode     17, score -20, own  1, enemy 21, mean -20.95
episode     18, score -20, own  1, enemy 21, mean -20.94
episode     19, score -20, own  1, enemy 21, mean -20.93
episode     20, score -20, own  1, enemy 21, mean -20.92
episode     21, score -20, own  1, enemy 21, mean -20.92
episode     22, score -21, own  0, enemy 21, mean -20.91
episode     23, score -18, own  3, enemy 21, mean -20.91
episode     24, score -21, own  0, enemy 21, mean -20.88
episode     25, score -21, own  0, enemy 21, mean -20.88
episode     26, score -21, own  0, enemy 21, mean -20.88
episode     27, score -20, own  1, enemy 21, mean -20.88
episode     28, score -21, own  0, enemy 21, mean -20.87
episode     29, score -20, own  1, enemy 21, mean -20.87
episode     30, score -21, own  0, enemy 21, mean -20.87
episode     31, score -20, own  1, enemy 21, mean -20.87
episode     32, score -21, own  0, enemy 21, mean -20.86
episode     33, score -19, own  2, enemy 21, mean -20.86
episode     34, score -21, own  0, enemy 21, mean -20.84
episode     35, score -20, own  1, enemy 21, mean -20.84
episode     36, score -20, own  1, enemy 21, mean -20.83
episode     37, score -21, own  0, enemy 21, mean -20.83
episode     38, score -20, own  1, enemy 21, mean -20.83
episode     39, score -18, own  3, enemy 21, mean -20.82
episode     40, score -20, own  1, enemy 21, mean -20.79
episode     41, score -19, own  2, enemy 21, mean -20.78
episode     42, score -18, own  3, enemy 21, mean -20.77
episode     43, score -18, own  3, enemy 21, mean -20.74
episode     44, score -20, own  1, enemy 21, mean -20.71
episode     45, score -20, own  1, enemy 21, mean -20.70
episode     46, score -17, own  4, enemy 21, mean -20.70
episode     47, score -20, own  1, enemy 21, mean -20.66
episode     48, score -21, own  0, enemy 21, mean -20.65
episode     49, score -21, own  0, enemy 21, mean -20.66
episode     50, score -21, own  0, enemy 21, mean -20.66
episode     51, score -19, own  2, enemy 21, mean -20.66
episode     52, score -20, own  1, enemy 21, mean -20.65
episode     53, score -19, own  2, enemy 21, mean -20.64
episode     54, score -21, own  0, enemy 21, mean -20.62
episode     55, score -19, own  2, enemy 21, mean -20.63
episode     56, score -18, own  3, enemy 21, mean -20.61
episode     57, score -19, own  2, enemy 21, mean -20.58
episode     58, score -19, own  2, enemy 21, mean -20.57
episode     59, score -19, own  2, enemy 21, mean -20.55
episode     60, score -21, own  0, enemy 21, mean -20.54
episode     61, score -21, own  0, enemy 21, mean -20.54
episode     62, score -20, own  1, enemy 21, mean -20.55
episode     63, score -21, own  0, enemy 21, mean -20.54
episode     64, score -19, own  2, enemy 21, mean -20.55
episode     65, score -17, own  4, enemy 21, mean -20.53
episode     66, score -18, own  3, enemy 21, mean -20.50
episode     67, score -17, own  4, enemy 21, mean -20.47
episode     68, score -19, own  2, enemy 21, mean -20.44
episode     69, score -21, own  0, enemy 21, mean -20.42
episode     70, score -18, own  3, enemy 21, mean -20.43
episode     71, score -18, own  3, enemy 21, mean -20.40
episode     72, score -16, own  5, enemy 21, mean -20.38
episode     73, score -19, own  2, enemy 21, mean -20.33
episode     74, score -19, own  2, enemy 21, mean -20.32
episode     75, score -20, own  1, enemy 21, mean -20.31
episode     76, score -19, own  2, enemy 21, mean -20.31
episode     77, score -17, own  4, enemy 21, mean -20.29
episode     78, score -21, own  0, enemy 21, mean -20.26
episode     79, score -21, own  0, enemy 21, mean -20.27
episode     80, score -19, own  2, enemy 21, mean -20.27
episode     81, score -19, own  2, enemy 21, mean -20.26
episode     82, score -19, own  2, enemy 21, mean -20.25
episode     83, score -19, own  2, enemy 21, mean -20.24
episode     84, score -21, own  0, enemy 21, mean -20.22
episode     85, score -20, own  1, enemy 21, mean -20.23
episode     86, score -18, own  3, enemy 21, mean -20.23
episode     87, score -20, own  1, enemy 21, mean -20.21
episode     88, score -21, own  0, enemy 21, mean -20.20
episode     89, score -21, own  0, enemy 21, mean -20.21
episode     90, score -20, own  1, enemy 21, mean -20.22
episode     91, score -17, own  4, enemy 21, mean -20.22
episode     92, score -18, own  3, enemy 21, mean -20.19
episode     93, score -19, own  2, enemy 21, mean -20.16
episode     94, score -19, own  2, enemy 21, mean -20.15
episode     95, score -19, own  2, enemy 21, mean -20.14
episode     96, score -20, own  1, enemy 21, mean -20.13
episode     97, score -19, own  2, enemy 21, mean -20.13
episode     98, score -18, own  3, enemy 21, mean -20.12
episode     99, score -20, own  1, enemy 21, mean -20.10
episode    100, score -21, own  0, enemy 21, mean -20.10
episode    101, score -19, own  2, enemy 21, mean -20.10
episode    102, score -16, own  5, enemy 21, mean -20.09
episode    103, score -21, own  0, enemy 21, mean -20.05
episode    104, score -19, own  2, enemy 21, mean -20.06
episode    105, score -19, own  2, enemy 21, mean -20.05
episode    106, score -19, own  2, enemy 21, mean -20.04
episode    107, score -19, own  2, enemy 21, mean -20.03
episode    108, score -20, own  1, enemy 21, mean -20.02
episode    109, score -19, own  2, enemy 21, mean -20.02
episode    110, score -19, own  2, enemy 21, mean -20.01
episode    111, score -18, own  3, enemy 21, mean -20.00
episode    112, score -19, own  2, enemy 21, mean -19.98
episode    113, score -18, own  3, enemy 21, mean -19.97
episode    114, score -17, own  4, enemy 21, mean -19.95
episode    115, score -21, own  0, enemy 21, mean -19.92
episode    116, score -18, own  3, enemy 21, mean -19.93
episode    117, score -15, own  6, enemy 21, mean -19.91
episode    118, score -12, own  9, enemy 21, mean -19.86
episode    119, score -19, own  2, enemy 21, mean -19.78
episode    120, score -19, own  2, enemy 21, mean -19.78
episode    121, score -11, own 10, enemy 21, mean -19.77
