Episode, Score, Own, Enemy, Mean
Episode, Score, Own, Enemy, Mean
Episode, Score, Own, Enemy, Mean
Episode      0, score -21, own  0, enemy 21, mean -21.00
Episode, Score, Own, Enemy, Mean
Episode      0, score -21, own  0, enemy 21, mean -21.00
Episode, Score, Own, Enemy, Mean
Episode      0, score -20, own  1, enemy 21, mean -21.00
Episode      1, score -21, own  0, enemy 21, mean -20.99
Episode      2, score -21, own  0, enemy 21, mean -20.99
Episode, Score, Own, Enemy, Mean
Episode      0, score -21, own  0, enemy 21, mean -21.00
Episode, Score, Own, Enemy, Mean
Episode      0, score -20, own  1, enemy 21, mean -21.00
Episode, Score, Own, Enemy, Mean
Episode      0, score -20, own  1, enemy 21, mean -21.00
Episode, Score, Own, Enemy, Mean
Episode      0, score -21, own  0, enemy 21, mean -21.00
Episode      1, score -21, own  0, enemy 21, mean -21.00
Episode      2, score -21, own  0, enemy 21, mean -21.00
